arg_scaffold_6_1500000001_1636012460.sh	scaffold_6:1500000001-1636012460	scaffold_6b:450000001-586012460
arg_scaffold_7_1050000001_1200000000.sh	scaffold_7:1050000001-1200000000	scaffold_7b:1-150000000
arg_scaffold_7_1200000001_1350000000.sh	scaffold_7:1200000001-1350000000	scaffold_7b:150000001-300000000
arg_scaffold_7_1350000001_1500000000.sh	scaffold_7:1350000001-1500000000	scaffold_7b:300000001-450000000
arg_scaffold_7_1500000001_1586261175.sh	scaffold_7:1500000001-1586261175	scaffold_7b:450000001-536261175
arg_scaffold_8_1050000001_1200000000.sh	scaffold_8:1050000001-1200000000	scaffold_8b:1-150000000
arg_scaffold_8_1200000001_1350000000.sh	scaffold_8:1200000001-1350000000	scaffold_8b:150000001-300000000
arg_scaffold_8_1350000001_1500000000.sh	scaffold_8:1350000001-1500000000	scaffold_8b:300000001-450000000
arg_scaffold_8_1500000001_1535238321.sh	scaffold_8:1500000001-1535238321	scaffold_8b:450000001-485238321
arg_scaffold_9_1050000001_1200000000.sh	scaffold_9:1050000001-1200000000	scaffold_9b:1-150000000
arg_scaffold_9_1200000001_1350000000.sh	scaffold_9:1200000001-1350000000	scaffold_9b:150000001-300000000
arg_scaffold_9_1350000001_1451291865.sh	scaffold_9:1350000001-1451291865	scaffold_9b:300000001-401291865
arg_scaffold_10_1050000001_1141852016.sh	scaffold_10:1050000001-1141852016	scaffold_10b:1-91852016
arg_scaffold_1a_1350000001_1418382258.sh	scaffold_1a:1350000001-1418382258	scaffold_1ab:300000001-368382258
arg_scaffold_1b_1050000001_1200000000.sh	scaffold_1b:1050000001-1200000000	scaffold_1bb:1-150000000
arg_scaffold_1b_1200000001_1350000000.sh	scaffold_1b:1200000001-1350000000	scaffold_1bb:150000001-300000000
arg_scaffold_1b_1350000001_1500000000.sh	scaffold_1b:1350000001-1500000000	scaffold_1bb:300000001-450000000
arg_scaffold_1b_1500000001_1650000000.sh	scaffold_1b:1500000001-1650000000	scaffold_1bb:450000001-600000000
arg_scaffold_1b_1650000001_1800000000.sh	scaffold_1b:1650000001-1800000000	scaffold_1bb:600000001-750000000
arg_scaffold_1b_1800000001_1805865550.sh	scaffold_1b:1800000001-1805865550	scaffold_1bb:750000001-755865550
arg_scaffold_2_1050000001_1200000000.sh	scaffold_2:1050000001-1200000000	scaffold_2b:1-150000000
arg_scaffold_2_1200000001_1350000000.sh	scaffold_2:1200000001-1350000000	scaffold_2b:150000001-300000000
arg_scaffold_2_1350000001_1500000000.sh	scaffold_2:1350000001-1500000000	scaffold_2b:300000001-450000000
arg_scaffold_2_1500000001_1650000000.sh	scaffold_2:1500000001-1650000000	scaffold_2b:450000001-600000000
arg_scaffold_2_1650000001_1800000000.sh	scaffold_2:1650000001-1800000000	scaffold_2b:600000001-750000000
arg_scaffold_2_1800000001_1928496112.sh	scaffold_2:1800000001-1928496112	scaffold_2b:750000001-878496112
arg_scaffold_3_1050000001_1200000000.sh	scaffold_3:1050000001-1200000000	scaffold_3b:1-150000000
arg_scaffold_3_1200000001_1350000000.sh	scaffold_3:1200000001-1350000000	scaffold_3b:150000001-300000000
arg_scaffold_3_1350000001_1500000000.sh	scaffold_3:1350000001-1500000000	scaffold_3b:300000001-450000000
arg_scaffold_3_1500000001_1650000000.sh	scaffold_3:1500000001-1650000000	scaffold_3b:450000001-600000000
arg_scaffold_3_1650000001_1783500049.sh	scaffold_3:1650000001-1783500049	scaffold_3b:600000001-733500049
arg_scaffold_4_1050000001_1200000000.sh	scaffold_4:1050000001-1200000000	scaffold_4b:1-150000000
arg_scaffold_4_1200000001_1350000000.sh	scaffold_4:1200000001-1350000000	scaffold_4b:150000001-300000000
arg_scaffold_4_1350000001_1500000000.sh	scaffold_4:1350000001-1500000000	scaffold_4b:300000001-450000000
arg_scaffold_4_1500000001_1650000000.sh	scaffold_4:1500000001-1650000000	scaffold_4b:450000001-600000000
arg_scaffold_4_1650000001_1712867715.sh	scaffold_4:1650000001-1712867715	scaffold_4b:600000001-662867715
arg_scaffold_5_1050000001_1200000000.sh	scaffold_5:1050000001-1200000000	scaffold_5b:1-150000000
arg_scaffold_5_1200000001_1350000000.sh	scaffold_5:1200000001-1350000000	scaffold_5b:150000001-300000000
arg_scaffold_5_1350000001_1500000000.sh	scaffold_5:1350000001-1500000000	scaffold_5b:300000001-450000000
arg_scaffold_5_1500000001_1650000000.sh	scaffold_5:1500000001-1650000000	scaffold_5b:450000001-600000000
arg_scaffold_5_1650000001_1695574379.sh	scaffold_5:1650000001-1695574379	scaffold_5b:600000001-645574379
arg_scaffold_6_1050000001_1200000000.sh	scaffold_6:1050000001-1200000000	scaffold_6b:1-150000000
arg_scaffold_6_1200000001_1350000000.sh	scaffold_6:1200000001-1350000000	scaffold_6b:150000001-300000000
arg_scaffold_6_1350000001_1500000000.sh	scaffold_6:1350000001-1500000000	scaffold_6b:300000001-450000000
